,artist_and_title,wks,t10,pk,(x?),pkstreams,total,artist,title,country,deezer_track_id,deezer_release_date,deezer_genres
92,Lewis Capaldi - Someone You Loved,136,6.0,6,,6707749,416809348,Lewis Capaldi,Someone You Loved,us,582143242,2018-11-08,['Alternatif']
93,Harry Styles - Watermelon Sugar,144,9.0,4,,8252165,414827783,Harry Styles,Watermelon Sugar,us,830336922,2019-12-13,['Pop']
94,Post Malone - Wow.,101,17.0,2,(x3),13236038,412520339,Post Malone,Wow.,us,607452332,2018-12-24,['Rap/Hip Hop']
95,The Weeknd - Timeless,72,7.0,1,(x1),16201681,412392124,The Weeknd,Timeless,us,3210598501,2025-01-31,['R&B']
96,The Chainsmokers - Closer,101,23.0,1,(x10),16639814,409313323,The Chainsmokers,Closer,us,129310248,2016-07-29,"['Alternatif', 'Indie Pop', 'Indie Rock', 'Elektronik', 'Techno/House', 'Dans', 'Pop']"
97,Wham! - Last Christmas,72,21.0,4,,20802591,407662982,Wham!,Last Christmas,us,1036586,1984-11-29,['Pop']
98,Djo - End of Beginning,90,14.0,1,(x2),12605616,407488875,Djo,End of Beginning,us,1899060227,2022-09-16,"['Alternatif', 'Rock']"
99,Billie Eilish - WILDFLOWER,90,,11,,11360245,402672818,Billie Eilish,WILDFLOWER,us,2801558062,2024-05-17,['Alternatif']
100,Madrigal - Seni Dert Etmeler,273,44.0,1,(x5),1754209,265865164,Madrigal,Seni Dert Etmeler,tr,901088302,2020-03-27,['Alternatif']
101,Dolu Kadehi Ters Tut - Gitme,357,,13,,1241421,237643825,Dolu Kadehi Ters Tut,Gitme,tr,3823486231,2019-03-29,['Pop']
102,BLOK3 - SEVMEYİ DENEMEDİN,74,53.0,1,(x6),5282270,211046910,BLOK3,SEVMEYİ DENEMEDİN,tr,,,
103,BLOK3 - aklına ben gelicem,125,14.0,1,(x3),5284158,204830744,BLOK3,aklına ben gelicem,tr,2461189335,2023-09-22,['Rap/Hip Hop']
104,Mavi Gri - Altüst Olmuşum,228,,11,,1829099,204682602,Mavi Gri,Altüst Olmuşum,tr,1685572277,2020-09-04,"['Alternatif', 'Pop']"
105,mor ve ötesi - Bir Derdim Var,479,,23,,1317071,203640960,mor ve ötesi,Bir Derdim Var,tr,77595996,2004-04-16,"['Pop', 'Rock']"
106,KÖFN - Bi' Tek Ben Anlarım,133,37.0,1,(x2),3664487,196736909,KÖFN,Bi' Tek Ben Anlarım,tr,1665420882,2022-03-18,"['Elektronik', 'Elektronik Pop/Elektronik Rock', 'Pop']"
107,Era7capone - CISTAK,86,27.0,1,(x13),6484237,190961284,Era7capone,CISTAK,tr,3168777251,2024-09-13,['Rap/Hip Hop']
108,Simge - Aşkın Olayım,159,33.0,1,(x1),3798989,189021659,Simge,Aşkın Olayım,tr,502960552,2018-06-02,['Pop']
109,Ati242 - 25,195,,12,,2223565,180618890,Ati242,25,tr,1733589657,2022-05-13,['Rap/Hip Hop']
110,BLOK3 - BAYBAY,151,10.0,3,(x2),3257133,179187966,BLOK3,BAYBAY,tr,2169231057,2023-03-17,['Rap/Hip Hop']
111,Dedublüman - Sakladığın Bir Şeyler Var,174,,20,,1523802,176664052,Dedublüman,Sakladığın Bir Şeyler Var,tr,1419046962,2021-07-16,['Pop']
112,Kalben - Yara,208,5.0,5,,1976375,176334217,Kalben,Yara,tr,419181012,2017-11-06,['Alternatif']
113,Yüzyüzeyken Konuşuruz - Dinle Beni Bi',337,,19,,1382755,171112021,Yüzyüzeyken Konuşuruz,Dinle Beni Bi',tr,455411362,2018-01-29,"['Alternatif', 'Indie Rock']"
114,Yaşar - Kumralım,242,,23,,1565210,169223487,Yaşar,Kumralım,tr,63577493,2013-01-15,['Pop']
